District;count_2017
Giaginskiy rayon;12
Koshekhabl'skiy rayon;13
Krasnogvardeyskiy rayon;14
Maykop;42
Maykopskiy rayon;17
Shovgenovskiy rayon;4
Takhtamukaysk rayon;14
Teuchezhskiy rayon;6
